#{"t_start": 1613728923.9825494, "env_id": "HopperBulletEnv-v0"}
r,l,t
28.653873,15,5.412864
21.962593,8,5.619863
22.543401,11,5.90086
35.334965,25,6.544859
31.72015,16,6.97086
25.304687,11,7.256858
59.028065,36,9.009453
30.417146,15,9.398453
26.399714,12,9.705452
25.134967,11,9.994461
28.776951,18,10.470448
28.646432,13,10.821451
24.607604,12,11.13345
35.255127,20,11.662464
25.543001,9,11.899451
26.132361,14,12.316451
32.534963,18,12.785452
39.428082,29,13.53945
22.478786,8,13.747454
23.137711,9,13.986468
24.917007,14,14.347454
27.654743,18,14.818454
19.485785,8,15.024462
32.261039,17,15.482452
19.304876,9,15.710454
28.673122,16,16.126453
25.29889,10,16.390453
30.009255,17,16.833453
29.123581,15,17.213458
30.234432,17,17.659456
33.317059,21,18.212453
22.628164,9,18.449459
22.112946,12,18.815453
