#{"t_start": 1613729439.3097658, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
19.876183,12,5.549957
22.685589,18,6.214959
15.969942,10,6.602953
18.453909,15,7.150954
12.991879,7,7.411953
20.237953,12,8.540474
24.26749,21,9.420476
19.014341,12,9.866484
19.261852,14,10.379475
26.050807,24,11.251474
26.591116,18,11.913473
31.824047,27,12.913475
17.74916,14,13.413478
16.693163,9,13.747476
16.14594,12,14.187475
17.364678,11,14.59848
22.577104,20,15.347473
17.534265,11,15.752482
20.395898,13,16.230481
13.88718,9,16.596477
17.186642,13,17.084478
22.165164,17,17.715496
16.550679,11,18.134485
19.173903,12,18.585478
17.440837,13,19.067475
18.080815,15,19.619474
16.54495,10,19.98648
18.008943,12,20.433484
17.745621,12,20.937478
33.245694,29,22.035481
26.906692,24,22.939481
21.300417,14,23.454477
19.552501,18,24.118474
21.217402,14,24.633479
