#{"t_start": 1615034271.3927577, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,6.003757
-500.0,500,13.013492
-500.0,500,20.07891
-418.0,419,26.968651
-408.0,409,31.438533
-170.0,171,32.019426
-283.0,284,36.251778
-122.0,123,37.980378
-141.0,142,38.453738
-114.0,115,40.594081
-129.0,130,41.041317
-120.0,121,42.738158
-443.0,444,47.264686
-110.0,111,47.630716
-235.0,236,49.725391
-77.0,78,49.98271
-81.0,82,51.536986
-98.0,99,52.35187
-99.0,100,52.688326
-95.0,96,54.299086
-130.0,131,54.748889
-116.0,117,56.447367
-91.0,92,56.754241
-94.0,95,57.516613
-72.0,73,59.08331
-93.0,94,59.418395
-104.0,105,59.826272
-82.0,83,61.682328
-81.0,82,61.959548
-80.0,81,62.236996
-100.0,101,64.365085
-65.0,66,64.591471
-89.0,90,64.896097
-81.0,82,66.519187
-98.0,99,66.853136
-73.0,74,67.102017
-105.0,106,68.771173
-91.0,92,69.563906
-76.0,77,69.838034
-64.0,65,71.367951
-61.0,62,71.58228
-120.0,121,71.991904
-130.0,131,73.728919
-93.0,94,74.044753
-89.0,90,76.114047
-86.0,87,76.405661
-84.0,85,76.698071
-70.0,71,78.205304
-112.0,113,78.587155
-81.0,82,78.875267
-88.0,89,80.481176
-105.0,106,81.342053
-94.0,95,82.968127
-75.0,76,83.221996
-73.0,74,83.469515
-93.0,94,83.794551
-85.0,86,85.378054
-77.0,78,85.640925
-75.0,76,86.361655
-78.0,79,87.956213
-69.0,70,88.193355
-83.0,84,88.480559
-82.0,83,90.080028
-72.0,73,90.332133
-67.0,68,90.581788
-86.0,87,92.465654
-81.0,82,93.240796
-92.0,93,93.557221
-80.0,81,95.122484
-94.0,95,95.452029
-84.0,85,95.752497
-71.0,72,97.285723
-88.0,89,97.585694
-80.0,81,98.339015
-98.0,99,99.998271
-91.0,92,100.313783
-249.0,250,102.488579
-88.0,89,102.789637
-83.0,84,104.979809
-91.0,92,105.29985
-60.0,61,105.513153
-81.0,82,107.112458
-69.0,70,107.349582
-134.0,135,107.808974
-69.0,70,109.346197
-75.0,76,109.60404
-96.0,97,110.386495
-87.0,88,111.972462
-96.0,97,112.322679
-91.0,92,112.634474
-62.0,63,114.156997
-98.0,99,114.492135
-80.0,81,114.797485
-76.0,77,116.798303
-94.0,95,117.120112
-73.0,74,117.376629
-77.0,78,118.94492
-61.0,62,119.159333
-93.0,94,119.488086
-90.0,91,121.432969
-75.0,76,121.705641
-79.0,80,122.474038
-70.0,71,122.718878
-69.0,70,124.251938
-89.0,90,124.558761
-70.0,71,124.800769
-78.0,79,126.374992
-80.0,81,126.650567
-89.0,90,126.957901
