#{"t_start": 1615199050.1167808, "env_id": "BipedalWalker-v3"}
r,l,t
-114.481487,1600,28.01212
-113.330656,1600,92.388422
-102.503377,1600,155.384116
-102.025832,81,156.28611
-118.152228,139,158.829283
-114.215552,72,159.613574
-99.155429,1600,237.382223
-94.804076,1600,345.696891
-121.267793,62,346.378187
-118.019524,74,347.210759
-85.128685,1600,411.58243
-114.599444,56,412.213447
-78.410828,1600,505.260875
-99.095755,64,505.979221
-111.841312,61,506.679146
-79.768122,1600,614.79016
-74.885012,1600,722.371385
-54.22978,1600,814.446715
-34.581886,1600,872.18842
-52.643269,1600,963.986791
-31.515608,1600,1069.967628
-9.580997,1600,1161.520936
-23.402936,1600,1267.266478
4.959111,1600,1314.804164
18.880599,1600,1421.232872
9.097773,1600,1527.133426
3.250053,1600,1617.062464
22.519724,1600,1678.572773
27.202116,1600,1767.953652
34.384005,1600,1872.670164
68.624104,1600,1962.629651
61.61974,1600,2067.197225
69.116712,1600,2113.675623
79.032856,1600,2217.541173
93.691122,1600,2321.432864
84.591605,1600,2411.547313
99.655862,1600,2461.340994
99.192212,1600,2550.223903
92.029037,1600,2655.514609
114.373409,1600,2745.743617
125.360303,1600,2849.252778
132.260762,1600,2911.163667
132.04557,1600,3000.427083
135.945941,1600,3094.127313
131.132877,1600,3182.424572
-30.00813,952,3220.206221
167.281836,1600,3305.274089
40.137453,1301,3392.108974
180.699261,1600,3447.902289
161.497825,1600,3538.564264
168.710391,1600,3644.502796
-122.370654,94,3645.553586
186.975057,1600,3750.698064
196.084037,1600,3841.266574
185.435195,1600,3899.970613
183.252862,1600,3990.452726
178.488949,1600,4094.219193
183.663084,1600,4199.769397
181.009933,1600,4246.544226
180.103268,1600,4345.047402
185.826899,1600,4434.066258
193.718628,1600,4536.846003
200.093835,1600,4626.082271
163.911353,1600,4688.770911
177.837031,1600,4779.87412
59.235489,1246,4864.676303
192.197453,1600,4970.477942
193.581308,1600,5031.497208
-60.68407,375,5035.376189
189.423134,1600,5136.706608
190.198382,1600,5223.787194
-18.340301,897,5260.924717
202.918445,1600,5350.5891
184.273592,1600,5456.559798
209.561674,1600,5541.912886
199.180471,1600,5640.42925
188.822685,1600,5694.589391
197.78499,1600,5779.435968
-65.88254,398,5795.339663
214.200987,1600,5881.097642
-26.638947,895,5960.070342
-48.117872,582,5979.682486
193.451888,1600,6045.843286
215.109074,1600,6104.394199
198.707293,1600,6175.639999
-66.143547,281,6187.62178
212.23926,1600,6275.597355
58.463575,1527,6377.514706
41.514193,1189,6417.058576
202.049911,1600,6506.055599
-29.825382,546,6570.130144
220.976086,1600,6628.530199
108.159149,1585,6717.287314
