#{"t_start": 1617702168.0016446, "env_id": "CarRacing-v0"}
r,l,t
-60.573477,1000,61.215093
-75.088968,1000,143.048918
-76.027397,1000,225.335788
-67.532468,1000,309.351282
-32.258065,1000,366.071783
-73.59736,1000,450.101953
-82.394366,1000,535.333559
71.339564,1000,623.479974
22.699387,1000,710.101073
213.207547,1000,768.286533
-54.385965,1000,853.061844
95.512821,1000,938.629385
-9.433962,1000,1024.376641
24.567474,1000,1108.717621
-8.51735,1000,1165.855301
80.921053,1000,1249.896881
140.121581,1000,1333.886511
-2.255639,1000,1421.617198
-46.428571,1000,1508.631142
103.389831,1000,1567.244788
134.95702,1000,1656.98976
266.336634,1000,1736.30692
177.227723,1000,1825.385763
206.122449,1000,1910.681426
205.647841,1000,1968.150715
115.547703,1000,2052.548915
252.313167,1000,2137.375218
119.879518,1000,2221.45937
151.724138,1000,2304.95511
132.876712,1000,2362.214385
79.310345,1000,2449.860544
545.390071,1000,2534.930122
347.204969,1000,2620.729503
219.444444,1000,2704.849998
369.314079,1000,2767.42285
227.272727,1000,2856.521312
362.633452,1000,2946.447076
178.089888,1000,3034.503628
35.220126,1000,3127.308124
512.781955,1000,3190.630359
552.173913,1000,3279.248208
599.658703,1000,3363.664587
605.479452,1000,3439.196867
565.625,1000,3527.473363
709.187279,1000,3585.88115
90.769231,1000,3671.184879
331.034483,1000,3756.494026
675.862069,1000,3844.45483
520.689655,1000,3934.304993
568.918919,1000,3996.235179
650.0,1000,4080.944079
306.52819,1000,4166.404459
547.509579,1000,4253.041558
262.068966,1000,4338.863498
522.073579,1000,4395.891175
400.0,1000,4479.987047
774.074074,1000,4567.653694
85.583699,653,4633.850424
723.754789,1000,4696.345327
366.27566,1000,4782.635829
217.689531,1000,4867.520856
583.274021,1000,4952.718363
678.195489,1000,5041.779294
319.871795,1000,5100.724101
417.374517,1000,5185.773015
663.837638,1000,5273.252206
337.086093,1000,5364.175815
315.09434,1000,5454.413555
470.909091,1000,5513.292107
753.146853,1000,5599.023883
733.976834,1000,5675.27744
677.777778,1000,5764.572483
672.277228,1000,5849.390338
793.939394,1000,5907.136741
724.451411,1000,5993.018353
531.578947,1000,6083.268136
598.305085,1000,6172.292886
579.61165,1000,6257.680044
809.774436,1000,6315.055874
655.417957,1000,6399.385913
844.206009,1000,6485.773888
321.985816,1000,6569.315171
233.333333,1000,6653.540832
556.957929,1000,6710.529433
440.123457,1000,6799.218633
246.504559,1000,6887.012501
303.125,1000,6971.604241
423.076923,1000,7055.27874
340.514469,1000,7112.449092
297.003745,1000,7199.516134
763.468635,1000,7283.028821
654.512635,1000,7365.952308
447.987616,1000,7442.694436
443.68932,1000,7503.824872
198.013245,1000,7590.198928
351.048951,1000,7673.730981
694.007491,1000,7756.751497
607.317073,1000,7841.853199
740.740741,1000,7898.312545
700.75188,1000,7981.224966
674.43609,1000,8063.960036
502.739726,1000,8150.90803
136.686391,1000,8238.570454
471.428571,1000,8295.365963
754.83871,1000,8377.981914
735.526316,1000,8460.885581
657.575758,1000,8543.4049
639.549839,1000,8625.663185
654.77707,1000,8681.439899
521.451104,1000,8767.917655
636.507937,1000,8851.560904
608.737864,1000,8937.289456
317.582418,1000,9021.534485
876.470588,1000,9070.06675
708.724832,1000,9154.088501
438.461538,1000,9238.009349
601.639344,1000,9321.998994
250.16835,1000,9406.41977
704.270463,1000,9463.281782
286.6171,1000,9546.704481
679.783394,1000,9630.465322
857.03125,1000,9713.747751
257.400722,1000,9797.281535
148.427673,1000,9854.102061
562.379421,1000,9937.350588
