#{"t_start": 1614803183.7532873, "env_id": "CartPole-v1"}
r,l,t
23.0,23,2.832853
32.0,32,2.98103
49.0,49,3.258216
30.0,30,3.403417
31.0,31,3.561106
15.0,15,3.57851
16.0,16,3.717087
30.0,30,3.870505
149.0,149,4.489846
18.0,18,4.627637
69.0,69,4.938704
57.0,57,5.224165
108.0,108,5.760933
50.0,50,6.049257
157.0,157,6.819254
278.0,278,8.095076
60.0,60,8.389799
76.0,76,8.70766
159.0,159,10.762218
93.0,93,11.225799
185.0,185,12.124788
154.0,154,12.863577
235.0,235,13.89903
202.0,202,14.949126
295.0,295,17.64974
410.0,410,19.573596
500.0,500,21.837111
500.0,500,26.162489
500.0,500,28.562716
500.0,500,30.814849
500.0,500,35.163686
500.0,500,37.421512
500.0,500,41.800178
500.0,500,44.243765
500.0,500,46.545437
500.0,500,50.950912
500.0,500,53.385467
500.0,500,57.637023
500.0,500,60.026125
500.0,500,62.332856
500.0,500,66.663537
500.0,500,69.113674
500.0,500,73.329285
500.0,500,75.727492
500.0,500,78.145134
