#{"t_start": 1617957246.1252592, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1172.349639,1000,48.500077
-1255.373633,1000,121.894504
-921.771004,1000,182.428918
-769.479517,1000,254.312427
-289.997689,1000,314.41918
13.547285,1000,386.365139
104.4834,1000,458.151747
165.111636,1000,517.31359
258.594692,1000,587.169718
469.493813,1000,645.702715
500.01222,1000,716.509904
599.035474,1000,787.238965
685.11076,1000,846.07443
844.846432,1000,915.24017
862.164888,1000,973.003204
922.088208,1000,1041.107799
858.830419,1000,1109.060049
1093.096705,1000,1166.331723
1270.021163,1000,1234.206703
1295.946308,1000,1291.869715
1237.746047,1000,1359.989989
1514.153498,1000,1414.2702
1510.538929,1000,1471.768584
1526.680877,1000,1540.449852
1598.256278,1000,1598.855058
1649.32633,1000,1667.61583
1681.158517,1000,1736.360656
1767.746915,1000,1794.471511
1469.531222,1000,1863.222951
1837.945081,1000,1920.967342
1871.623184,1000,1989.232642
1747.280899,1000,2056.821399
1872.805223,1000,2114.344622
1940.007947,1000,2182.295945
1954.687753,1000,2240.309537
1977.375266,1000,2308.354105
1970.499611,1000,2376.983768
1984.247616,1000,2434.419093
1980.60948,1000,2502.190365
1955.166838,1000,2559.580055
2016.137224,1000,2627.91593
1970.29658,1000,2696.314975
1890.490482,1000,2740.612354
2086.078209,1000,2808.55216
2077.454205,1000,2866.562073
2032.835096,1000,2934.463334
2084.787086,1000,3002.567543
2058.220359,1000,3059.909254
2164.406006,1000,3128.238617
2086.385034,1000,3185.508573
2140.070652,1000,3253.66014
2119.588541,1000,3322.539347
2200.74868,1000,3380.206506
2238.917017,1000,3448.678232
2185.100412,1000,3506.515951
2041.249688,1000,3575.066799
2047.591046,1000,3642.765901
2117.100249,1000,3700.370436
2222.055763,1000,3768.575192
2268.960102,1000,3825.834005
2124.544058,1000,3893.078463
2248.494442,1000,3960.332359
2229.198854,1000,4017.548863
2209.61835,1000,4072.116489
2291.33262,1000,4129.263175
2263.329532,1000,4196.757117
2251.630547,1000,4263.949548
2287.400442,1000,4320.664062
2273.799262,1000,4387.795432
2267.55375,1000,4444.812352
2209.943303,1000,4511.736641
2283.920074,1000,4578.880497
2275.157422,1000,4636.002734
2262.656728,1000,4703.363784
2289.253012,1000,4759.90994
2313.314387,1000,4826.741484
1911.98001,1000,4893.799994
2282.883482,1000,4950.36281
2349.751572,1000,5017.1938
1849.447517,1000,5073.938392
2291.651654,1000,5140.517859
2211.926434,1000,5207.37071
2338.140846,1000,5264.253708
2359.509228,1000,5331.050554
2303.592114,1000,5388.060748
2279.57211,1000,5442.114672
2373.076841,1000,5509.432769
2405.566252,1000,5566.199904
2378.247194,1000,5633.874186
2380.339171,1000,5691.727307
2341.007071,1000,5760.592981
2232.382643,1000,5829.862977
2401.659728,1000,5888.445711
2455.657398,1000,5957.751959
2479.598915,1000,6015.980322
2429.565991,1000,6084.708856
2437.766218,1000,6153.397964
2455.584468,1000,6211.140961
2491.414469,1000,6279.545888
2462.714257,1000,6336.995422
2561.292549,1000,6404.827469
2492.936474,1000,6473.967775
2447.313451,1000,6532.819708
2476.011633,1000,6600.420271
2471.360552,1000,6658.355069
2330.392957,1000,6726.642534
2503.328559,1000,6781.287744
2530.413278,1000,6839.16994
2459.344776,1000,6907.101197
2514.542719,1000,6964.569021
2502.909473,1000,7032.889083
2545.582223,1000,7100.561265
2525.609625,1000,7157.912651
2403.930316,1000,7225.639196
2600.355166,1000,7283.471671
2608.647254,1000,7352.975216
2637.467292,1000,7422.103174
2590.022771,1000,7479.354561
2673.016214,1000,7547.163616
2597.581864,1000,7604.389583
2530.564045,1000,7672.070188
2587.110489,1000,7740.107837
2600.494588,1000,7798.001849
2640.125238,1000,7866.668876
2586.781039,1000,7924.624854
