#{"t_start": 1615582655.7943304, "env_id": "HopperBulletEnv-v0"}
r,l,t
22.293762,14,1.217366
24.277826,8,1.343408
27.405332,15,1.608422
27.281961,16,1.876295
30.91212,15,2.115406
29.919454,21,2.448482
17.761606,12,2.634463
30.546688,18,2.916076
13.823298,12,3.100453
29.808283,17,3.365175
20.738021,10,3.526171
23.209649,14,3.75617
46.025972,32,4.264244
20.519001,9,4.419427
26.520806,12,4.605253
25.591089,11,4.78624
24.477693,9,4.92598
36.16792,21,5.248652
22.219363,13,5.455977
34.894698,18,5.744907
23.975723,11,5.917451
49.319997,33,6.462336
24.351432,13,6.687106
23.164252,16,6.955023
23.253499,9,7.093988
23.514998,8,7.219902
29.435801,18,7.508805
37.844569,24,7.891005
27.262968,13,8.107092
41.572013,32,8.619078
25.428422,10,8.787389
30.980439,18,9.074898
29.22385,15,20.54958
34.711129,24,20.922729
24.797225,10,21.083671
22.331977,8,21.213957
24.178578,12,21.411296
30.608931,18,21.691752
46.712176,31,22.189864
23.166417,12,22.593027
34.01419,19,22.896091
30.830609,16,23.159005
21.818241,7,23.269967
25.779744,14,23.491971
33.558645,19,23.788074
20.862144,12,23.976386
27.372454,12,24.172832
25.903553,13,24.379436
25.541943,18,24.664944
25.735793,15,24.898205
26.286174,16,25.158081
34.52176,21,25.501531
25.825157,15,25.737099
26.002826,14,25.95321
26.982788,13,26.165082
31.716688,20,26.480688
28.539208,16,26.733842
21.907581,8,26.861029
20.702663,10,27.017914
24.8033,16,27.290065
28.844218,16,27.543541
35.020493,25,27.933342
20.716853,11,28.109873
33.515509,18,28.401104
20.791233,7,28.50961
19.0432,7,28.619528
32.276103,16,40.093744
32.705429,18,40.384603
26.602819,12,40.574785
19.616452,8,40.697679
27.188904,18,40.979687
24.230216,9,41.121477
24.159364,20,41.444054
21.550204,11,41.618734
30.176056,18,41.895701
22.619703,9,42.035594
29.543278,16,42.287033
22.557055,9,42.436793
36.056452,25,42.836273
23.472669,11,43.005986
20.82201,8,43.133044
35.408683,33,43.861817
29.31271,14,44.080228
20.92075,16,44.332847
25.07788,15,44.570152
25.663459,20,44.883878
27.090623,11,45.054832
44.877494,36,45.618404
35.376315,19,45.911477
45.585759,26,46.31234
25.365826,11,46.491767
30.342047,15,46.727496
26.662242,13,46.930252
33.052987,18,47.20967
25.341149,12,47.397116
16.532473,20,47.712889
22.041282,10,47.869783
26.695745,13,48.069698
22.762123,12,48.256926
16.092777,9,59.554214
20.458121,9,59.69995
33.349055,21,60.021619
1.991233,43,60.71106
29.483173,16,60.959871
23.613518,13,61.157762
31.851577,22,61.49899
26.827936,40,62.124576
31.097739,26,62.521698
41.360175,28,62.955704
55.038353,44,63.632658
33.220955,20,63.94828
20.273005,12,64.132416
21.601709,12,64.317709
45.5596,32,65.174047
22.193507,13,65.376116
24.709736,13,65.57895
29.224307,14,65.80141
35.166223,20,66.110163
27.988027,16,66.359145
32.953939,26,66.763301
29.398498,16,67.013372
24.145257,11,67.180431
25.652734,20,67.485175
22.38967,10,67.641495
30.14408,19,79.058753
40.034106,36,79.6131
26.40862,14,79.823046
35.04892,28,80.275415
33.421267,21,80.595011
22.837906,9,80.734873
52.0186,59,81.641486
32.71054,20,81.943544
54.759801,40,82.559274
47.814708,36,83.12577
37.64361,27,83.539418
45.005361,37,84.112242
31.890866,18,84.387615
45.067983,34,84.904884
34.946253,23,85.263464
44.237889,31,85.730973
42.721473,30,86.680022
27.445617,18,86.957892
36.069872,25,98.44212
58.339085,44,99.125998
24.408378,13,99.325966
67.721484,60,100.259662
62.202276,54,101.086619
52.244409,47,101.804905
32.007818,33,102.319852
32.348073,26,102.713402
38.82998,24,103.079311
38.257546,27,103.492598
42.388124,31,103.963422
44.863145,30,104.441309
40.006373,42,105.087765
36.804103,28,105.526101
46.474905,37,106.090532
42.080048,40,117.816163
60.370006,45,118.985184
99.503273,90,120.376192
54.587599,41,121.026627
55.822802,40,121.651821
43.200529,28,122.073341
81.134964,67,123.096345
71.961073,50,123.858719
48.727848,37,124.444026
54.625085,41,125.093361
96.765017,68,137.550514
29.234766,47,138.265503
80.013242,58,139.144127
94.713344,73,140.751756
99.603882,99,142.25479
54.78535,36,142.796798
64.429639,45,143.486277
56.02462,46,144.181078
91.338631,59,145.077446
119.767579,104,157.863711
92.456057,80,159.084938
103.39961,75,160.219141
83.663347,61,161.70095
71.708169,50,162.471057
22.462267,69,163.516486
34.654653,26,163.906062
92.720644,60,164.820295
106.849012,74,177.070119
88.105478,63,178.066124
99.926199,75,179.249604
79.901318,51,180.01679
104.887483,81,181.247421
81.071139,50,182.013033
101.248835,74,183.633202
73.699836,54,184.449265
53.442547,41,196.334889
22.143382,12,196.51367
74.635975,63,197.464236
99.162347,66,198.460112
77.879501,57,199.331535
119.046332,73,200.442062
112.966921,75,201.578152
99.83907,62,202.513802
93.770763,63,204.147804
93.766864,69,216.411152
119.603838,96,217.857753
122.083977,78,219.040374
95.629054,73,220.141644
103.83539,70,221.22031
106.230182,67,222.227135
103.017559,77,234.535756
107.57102,69,235.622658
135.603831,98,238.051817
111.411559,68,239.101202
91.781063,63,240.06135
119.29566,96,241.537174
114.237829,74,242.65947
81.063243,65,254.729573
91.668727,88,256.071521
137.981833,120,258.817627
135.931645,99,260.329406
140.924843,122,262.172182
121.520004,75,274.581615
150.524228,98,276.062245
135.711243,83,277.315527
101.321811,76,278.456097
132.596797,115,281.246214
163.516754,123,294.165387
129.304839,74,295.282768
128.068773,85,296.568257
120.911557,74,297.678394
140.125422,96,299.133694
139.010844,113,301.943026
129.098695,78,314.263456
108.534294,108,315.908769
162.576233,105,317.516427
176.469733,111,319.199248
138.527249,92,320.577974
134.730723,95,333.190098
129.284555,80,335.598536
134.436885,80,336.820925
163.285178,103,338.382481
155.107822,124,340.276741
147.195237,108,341.955875
22.474262,10,353.416211
157.583395,90,354.764952
160.08874,96,357.57724
141.204346,106,359.170632
158.218132,115,360.932864
144.328812,97,373.595326
119.533556,110,375.283865
116.000585,93,376.735039
176.12057,106,379.74182
139.196767,91,381.120694
182.793339,125,394.180017
148.534348,95,395.612535
154.707601,114,397.325302
144.307922,103,398.881745
44.787442,40,399.494946
159.735899,90,403.420443
205.181727,141,416.618492
254.538282,167,419.157043
156.19761,126,421.069896
195.071114,147,436.412413
231.846662,149,438.694745
170.505502,111,440.374454
283.757947,171,443.317713
236.330531,136,456.419712
144.87779,120,460.180337
239.010747,140,462.32664
220.304913,116,464.076703
135.069084,74,476.457963
122.403094,84,477.727244
175.276957,126,481.5554
182.522346,121,483.402289
66.543215,58,484.276199
227.311063,130,497.38539
191.424395,138,499.443902
207.067771,125,501.310878
241.428248,158,507.718473
246.661757,158,521.162039
180.758717,100,522.663216
87.668081,67,523.659794
333.499011,198,529.403885
173.612858,112,542.090023
235.77204,152,544.375225
386.862507,236,547.920768
301.55144,234,568.791604
297.634489,165,571.274891
210.746955,113,572.959704
299.555387,205,587.206352
245.922679,141,596.724685
233.791986,136,598.775401
315.661791,183,612.713276
443.382436,240,623.15391
249.486087,157,625.497938
445.374985,252,640.326074
269.893366,184,649.99716
144.362987,98,651.495673
250.128745,163,665.155486
415.925324,275,669.312322
414.958004,247,691.156333
783.396735,525,716.351746
683.429571,396,733.412433
510.135571,258,743.029385
171.82545,113,744.74512
837.561285,478,771.518282
705.85333,399,788.678259
180.442028,112,790.34493
302.087759,183,812.873675
928.054706,529,840.283729
1415.973772,828,872.483815
1382.487198,740,914.407213
538.325218,316,927.64998
1313.195428,757,969.976068
589.751906,321,974.785231
1618.429309,894,1027.54563
1549.987439,812,1070.447692
323.77884,191,1073.30925
1442.095862,776,1124.1372
447.065746,248,1127.806615
1934.375422,941,1172.545715
739.048056,390,1198.013578
927.815611,485,1224.985085
1994.745179,1000,1270.560407
411.034294,222,1282.503237
367.561475,200,1285.439956
131.768879,81,1297.866298
2048.424366,1000,1352.189394
1159.012331,566,1380.36554
1813.040447,843,1412.614049
2098.203629,1000,1467.097021
2170.152018,1000,1512.699193
1971.71842,937,1565.499955
1862.522127,894,1609.301604
2040.554352,1000,1663.981102
1197.660597,597,1692.334246
537.55962,274,1696.441692
792.683163,430,1722.169459
476.044384,237,1736.655487
33.888242,23,1736.99944
2165.118607,1000,1790.668031
123.489431,74,1791.762325
461.705781,231,1795.132065
1583.794899,722,1844.932221
755.289602,370,1850.372014
2206.734922,1000,1904.471675
2265.005505,1000,1950.56891
170.005885,99,1972.089473
1851.203427,839,2004.446788
1110.976345,536,2032.431224
1069.369151,495,2059.697505
869.23025,412,2077.105667
2335.57118,1000,2131.81128
898.40244,401,2149.349962
2265.02622,1000,2204.138395
2214.224503,1000,2258.64711
2235.528725,1000,2304.668114
2244.18525,1000,2359.228002
2237.471745,1000,2405.60489
2227.620763,1000,2460.352179
2259.631784,1000,2503.784695
2292.092132,1000,2549.808782
2229.538786,1000,2604.896328
393.30317,194,2619.236229
2271.635433,1000,2674.317814
2271.547107,1000,2720.638418
512.704734,253,2732.952143
2286.789535,1000,2779.528901
2262.042055,1000,2834.866807
2317.35404,1000,2889.452664
1466.674635,651,2919.147705
1485.043767,669,2960.314311
205.82119,114,2961.993432
