#{"t_start": 1617028241.458276, "env_id": "LunarLanderContinuous-v2"}
r,l,t
5.933399,84,0.68621
-505.185645,89,1.377966
-370.896257,77,2.106958
-211.246389,124,3.222545
-138.17304,112,4.094173
-93.88018,131,5.192331
17.27435,102,6.642833
-68.777433,106,7.539093
-486.469167,90,8.254394
-210.313748,101,9.034602
-77.328297,88,13.869366
-97.673642,80,14.501992
-84.565447,75,15.566848
-267.416202,132,16.636358
-69.438718,75,17.268304
-137.66159,90,18.081592
-178.413622,109,18.996703
-122.851051,84,19.704604
-178.818705,83,20.411981
-13.302163,125,21.957652
-218.361635,89,22.704452
-153.33677,92,27.580621
-353.210077,95,28.403921
-86.926145,86,29.160907
-35.205923,88,29.876637
-97.334001,85,30.641586
-185.781533,91,32.149159
-169.929919,120,33.181628
-86.835585,99,34.15067
-471.992917,171,35.943763
-108.553532,91,36.899253
-174.709854,108,42.464681
-43.392123,92,43.525509
-309.680617,147,45.152259
-117.068624,86,45.926713
-21.769581,1000,63.370311
-135.360301,112,64.336371
-71.303045,77,64.925578
-56.526539,182,66.452108
-63.151996,78,67.09129
-61.298919,81,68.237538
-77.917811,125,73.196603
-76.512813,126,74.258083
-30.169138,168,75.744109
18.025765,89,76.569089
-51.870435,163,78.68347
3.894586,77,79.521684
-65.485982,135,81.137797
-73.288226,95,82.380124
-26.135026,121,84.105789
-50.153262,109,89.243475
-50.963192,165,91.862866
-11.676325,80,92.908019
-85.37693,111,94.384416
-56.611214,108,95.329754
-84.816271,204,97.56892
-61.017822,143,98.76984
-51.344031,220,104.379472
-52.308785,87,105.170676
-99.864294,143,106.430336
-63.591845,157,109.67746
-10.011585,73,110.50329
-66.762443,108,111.758372
9.899278,98,113.025187
-41.624799,105,114.561248
-39.448051,191,121.68544
-46.467546,99,123.101136
-50.453466,104,123.996583
8.184571,146,125.246639
-8.080617,119,126.269227
-67.156992,140,128.247332
-39.503228,171,129.812041
-26.64873,109,130.793368
-18.400508,114,135.524288
-12.001015,92,136.42203
-30.391966,111,139.413116
-40.376825,1000,164.983099
-111.977198,204,172.655911
-25.690161,128,175.070211
29.422926,125,176.629873
-65.824237,184,179.507785
-13.076151,115,181.744685
-34.658537,199,192.391199
25.367357,1000,224.830314
69.990912,1000,263.816505
-12.391231,141,267.23042
-10.48183,157,270.473608
47.263438,185,277.533907
9.836839,150,281.895736
-0.163554,1000,329.226352
-8.901973,136,334.390608
-83.127911,220,347.423493
10.24337,207,353.208704
59.062413,180,360.620602
-5.15135,211,368.375121
45.917375,1000,418.753114
8.877536,202,427.908996
-93.91291,316,443.056212
57.171873,1000,489.791433
13.934317,1000,541.085428
-36.714535,1000,584.902647
38.540019,1000,632.095205
114.937008,1000,677.330489
59.619904,1000,726.514157
104.11545,1000,770.204606
136.035258,1000,810.341439
141.019355,1000,853.875343
54.673828,202,863.948838
126.592376,1000,907.983926
119.582082,1000,949.858303
64.341714,1000,991.080858
108.54644,1000,1034.997693
123.252357,1000,1075.651519
52.685636,1000,1117.968635
112.128972,1000,1158.37484
145.973059,1000,1204.108291
77.257621,1000,1249.762315
135.847464,1000,1288.242673
127.545829,1000,1329.665239
164.769327,1000,1367.932226
148.299006,1000,1409.23231
103.172541,1000,1451.945428
102.121694,1000,1490.406024
138.960639,1000,1532.754168
144.202943,1000,1571.8276
148.640332,1000,1613.183687
93.678761,1000,1658.341851
150.539745,1000,1693.204873
178.326276,1000,1733.515585
167.165854,1000,1771.464457
128.482697,1000,1813.194582
118.459293,1000,1852.442333
135.558301,1000,1889.143501
109.998061,1000,1928.587104
138.747689,1000,1964.424439
162.680986,1000,2004.275232
167.846803,1000,2044.086986
128.655752,1000,2081.957856
113.21057,1000,2120.897013
141.055097,1000,2158.060793
114.261596,1000,2195.358036
172.589904,1000,2233.382666
168.86175,1000,2268.728167
115.667558,1000,2309.125667
172.401981,1000,2346.832777
