#{"t_start": 1606428318.500111, "env_id": "MinitaurBulletEnv-v0"}
r,l,t
-0.899235,368,34.131662
-1.262564,386,51.669263
-1.009867,465,73.507425
-0.177945,90,116.875789
-1.131194,1000,181.611466
-0.825113,393,235.275979
-0.48123,279,247.952832
-0.302236,155,255.143476
-0.183925,306,269.037194
-0.716001,825,357.996958
-0.166502,102,363.026632
-0.150611,146,369.866098
0.104504,925,445.382021
-0.057244,741,494.862433
0.000831,80,531.793867
-0.032403,171,539.943756
0.283744,573,567.281947
-0.097985,646,631.405274
0.224235,119,636.631334
0.307606,268,649.727468
0.237406,150,656.68034
0.987807,448,694.108569
0.31835,313,722.294967
0.068468,105,727.842053
0.134205,178,737.172036
0.023583,326,752.764071
0.174143,223,763.57912
0.00295,58,766.529815
-0.145528,90,771.05042
0.275155,112,789.79193
0.182875,208,815.503587
0.271878,174,824.5241
-0.044277,115,830.277918
0.050683,50,832.599359
0.053444,55,835.730889
0.136296,90,840.460688
0.059255,131,846.779175
0.708549,246,859.637917
0.228648,163,872.427599
0.030538,60,875.580333
-0.017748,76,879.667402
0.365608,126,886.198363
0.642462,464,911.314298
0.203559,167,919.829979
0.25793,103,924.844096
0.1614,87,944.826843
0.024503,70,948.242773
0.764957,279,979.835768
-0.016685,36,981.697925
0.225592,95,986.505021
0.198076,80,990.541651
0.524316,153,998.791452
0.221304,172,1007.634874
0.345915,139,1014.881308
0.05533,108,1020.388341
0.287586,165,1029.060519
0.049268,108,1051.300714
0.189227,78,1055.358338
0.173794,104,1060.870235
0.336783,157,1069.003954
0.606135,148,1076.900381
0.796491,442,1114.795511
0.236824,64,1118.200077
0.06879,38,1120.326619
0.13824,62,1123.698496
0.537294,234,1173.348504
1.406479,481,1197.74845
0.954318,304,1212.97224
0.680349,233,1224.396578
0.19723,173,1270.05265
0.557517,221,1296.680343
1.507439,411,1317.987494
0.106649,36,1319.945535
1.262262,320,1335.499324
0.298975,121,1341.852389
0.144326,54,1344.539631
0.209024,80,1374.210396
0.52762,168,1383.653363
1.635846,441,1406.218086
0.869817,276,1419.686067
0.251178,58,1437.648138
1.416884,332,1472.002492
0.310227,262,1484.411936
0.434092,98,1489.459187
0.890918,214,1499.782386
0.448792,156,1507.663458
0.337723,125,1513.701262
2.237068,528,1550.44565
1.064954,335,1582.738855
2.277106,457,1604.436418
3.489468,675,1646.779608
2.428531,807,1685.685075
1.653237,289,1723.948547
1.954172,373,1741.843624
0.404593,93,1746.587837
3.984416,850,1817.392012
1.008894,220,1827.799253
3.692276,736,1905.128006
1.396285,292,1919.248492
1.833733,342,1935.763825
6.082027,1000,2028.746785
3.877965,640,2059.678062
3.247339,552,2115.130124
0.892277,129,2121.461422
0.634728,157,2129.016014
7.619626,1000,2227.060815
4.450645,485,2249.673406
0.977904,174,2257.962296
0.444036,87,2262.338561
0.851817,141,2305.334732
5.878301,828,2362.589561
4.54339,645,2428.700869
4.205236,655,2460.910694
6.162974,1000,2557.874449
1.873239,293,2571.678931
1.870665,273,2585.071828
7.329859,835,2657.640387
8.361818,1000,2747.644821
2.52075,339,2762.341036
1.357184,170,2770.279323
6.476798,819,2847.671421
3.707432,440,2867.325808
8.548115,1000,2938.884365
0.08073,39,2940.739473
7.109344,725,3015.659887
8.873116,943,3088.850838
12.095904,1000,3151.966094
9.645581,845,3221.50022
5.881492,539,3247.431157
10.752783,1000,3328.983356
10.512292,1000,3395.352324
9.688577,1000,3487.952541
9.715033,877,3554.906615
12.336984,1000,3618.522357
11.166959,1000,3697.12689
11.603078,1000,3787.058878
10.995031,1000,3859.669568
11.19784,1000,3952.835301
3.33698,241,3963.827393
11.782424,1000,4034.70859
11.655749,1000,4097.052455
12.744845,1000,4166.750377
8.343278,677,4221.624181
4.089131,385,4255.535435
5.755981,434,4276.15044
4.304749,440,4325.883388
5.154944,426,4345.529422
0.842933,93,4349.707865
11.466664,1000,4435.685362
0.394619,64,4438.907104
10.777864,894,4508.597073
12.823733,1000,4570.576559
10.09788,762,4633.22817
13.098374,1000,4721.273029
6.52267,470,4743.055013
0.58146,71,4746.89815
3.625548,340,4788.824573
3.158045,262,4800.714175
15.006964,1000,4889.48945
4.760526,371,4906.521094
13.497152,1000,4984.162666
12.340921,1000,5045.497516
14.181176,1000,5114.363302
15.026754,1000,5205.340085
6.595667,522,5230.355505
