#{"t_start": 1607111919.0825908, "env_id": "MountainCarContinuous-v0"}
r,l,t
-2.902118,999,16.344878
-8.08253,999,26.673656
92.455075,573,32.643003
92.782862,264,36.016934
94.363107,183,37.954247
96.818762,179,39.803339
95.668681,240,42.317093
94.728208,106,43.421898
94.158219,118,44.649705
93.475445,262,47.365692
93.366786,262,50.117424
89.854045,274,53.03177
94.818344,151,54.647445
91.193084,194,56.643987
89.582869,213,58.924387
92.686662,138,60.321101
93.918535,112,61.480052
91.350698,168,63.504821
92.287346,175,65.744694
94.189871,100,66.722257
92.437448,154,68.257889
90.85259,172,70.085716
92.730446,118,71.297525
93.174074,152,72.908883
92.789665,102,73.922125
90.019965,144,75.434613
89.952307,137,76.944057
90.889926,136,78.33584
93.190506,164,80.073569
95.112776,150,81.60586
94.954572,107,82.773291
94.63775,113,83.985514
90.48723,215,86.195961
90.274437,188,88.181975
90.766895,187,90.111817
94.978412,100,91.155701
94.897764,105,92.253329
92.97345,200,94.328998
92.76909,149,96.442097
90.525266,141,97.921981
91.090449,137,99.349123
94.356255,96,100.36003
95.022748,100,101.38329
93.84189,151,102.904827
93.84863,152,104.496962
94.954331,109,105.638883
94.505745,97,106.593547
95.170632,104,107.718534
94.080744,132,109.061101
88.931003,141,110.523541
88.983446,139,112.695003
88.678466,141,114.045725
87.354519,163,115.79628
88.973499,139,117.169753
88.954998,143,118.670313
89.635864,135,120.094334
90.327079,143,121.576758
90.0727,142,123.01413
89.436407,134,124.425894
89.352949,134,126.573043
90.078448,126,127.963117
89.703757,127,129.283987
89.771849,132,130.697639
90.217727,124,132.023319
90.084226,125,133.35125
90.438374,128,134.747701
90.370385,141,136.240108
90.197303,124,137.467271
90.200766,132,138.923109
90.129899,127,140.272042
90.301853,122,141.496703
90.316984,120,142.768787
90.092119,122,143.971394
90.194386,132,145.410482
89.977641,131,146.695533
90.328038,156,148.364062
89.977304,121,149.586844
90.441533,122,150.880397
90.485122,124,152.101329
90.553401,121,153.465884
90.334292,125,155.34839
90.491482,123,156.722807
91.037992,122,158.023214
93.366792,141,159.428346
90.870191,118,160.723798
90.982999,118,161.9612
90.314638,129,163.337305
89.675669,143,164.786672
90.170709,123,166.085817
89.756873,128,167.360723
89.929849,138,168.881542
89.843832,135,170.2485
89.966748,140,171.720947
90.402206,132,173.092728
90.043919,131,174.42714
90.185641,127,175.753851
90.656938,137,177.137899
90.457774,126,178.472396
90.151753,123,179.687532
92.648923,166,181.458052
91.936275,134,182.786436
90.597185,123,184.158053
90.039285,169,186.531711
91.051321,123,187.731895
90.844052,130,189.142173
90.574837,124,190.399076
90.601666,121,191.682743
90.916219,161,193.386953
90.969357,116,194.574299
91.279603,115,195.793616
91.053936,116,197.012477
92.791632,178,198.829665
90.910231,116,199.990096
91.185563,151,201.593512
93.354118,160,203.236928
93.436467,119,204.482149
91.345978,112,205.672159
91.854765,162,207.345881
92.819785,161,209.076278
91.263675,166,210.713038
91.021865,188,212.685925
94.857384,133,214.066523
92.957912,114,215.307844
93.44173,116,216.85595
92.555896,154,218.735867
