#{"t_start": 1615034593.3185143, "env_id": "Pendulum-v0"}
r,l,t
-1259.884087,200,3.098617
-1135.080468,200,3.408067
-745.403457,200,3.715152
-879.532296,200,4.022812
-1067.048444,200,4.337643
-1030.410336,200,4.643264
-954.705756,200,5.721822
-1714.336855,200,6.034131
-1588.719775,200,6.350183
-1404.621134,200,6.664469
-1300.699203,200,21.121608
-1177.508525,200,21.433467
-1265.225541,200,22.507717
-1492.843869,200,22.825483
-991.570891,200,23.13647
-972.9942,200,23.449644
-1494.673459,200,23.771502
-874.601289,200,24.077985
-766.681222,200,25.130474
-747.846042,200,25.449592
-1298.117777,200,39.460665
-1091.668655,200,39.775565
-1443.074786,200,40.081407
-1665.157609,200,40.390677
-1305.16654,200,40.703007
-1153.026244,200,41.83516
-1172.129294,200,42.207952
-1368.168234,200,42.578063
-1608.598347,200,42.953944
-1244.708665,200,43.324278
-963.380942,200,57.369704
-1362.643615,200,58.422308
-1156.379886,200,58.739525
-1021.328715,200,59.057461
-1813.154167,200,59.37444
-933.811018,200,59.686409
-1475.611249,200,60.004289
-1588.811673,200,61.059989
-1508.77163,200,61.373186
-885.310978,200,61.686119
-1721.860459,200,76.139234
-906.126566,200,76.456341
-775.260221,200,76.768442
-1230.924797,200,77.845356
-1420.688157,200,78.162598
-1238.5863,200,78.483687
-1596.333549,200,78.807397
-976.406857,200,79.115246
-1027.400454,200,79.44827
-1033.299751,200,79.763014
-1064.549359,200,80.848117
-1103.236654,200,94.967008
-958.906375,200,95.278444
-1009.000689,200,95.610413
-1025.83157,200,95.927748
-1481.46415,200,96.240642
-1173.607224,200,97.312434
-983.602596,200,97.631144
-1640.194173,200,97.953251
-1178.80486,200,98.269167
-763.956128,200,98.59034
-1066.635781,200,113.082286
-1097.447017,200,114.1326
-1006.283588,200,114.44595
-1729.694173,200,114.764667
-889.264607,200,115.089021
-893.893179,200,115.399957
-1307.352043,200,115.716153
-1219.331142,200,116.765109
-1029.048213,200,117.081611
-1254.492682,200,117.395204
-1178.425121,200,131.468372
-896.131216,200,131.780791
-895.305643,200,132.119738
-965.371633,200,132.432502
-1392.71982,200,133.713122
-973.4214,200,134.097022
-1749.564036,200,134.453977
-1415.347294,200,134.771377
-1194.09156,200,135.099624
-889.89735,200,135.409372
-996.594823,200,150.124871
-1450.582505,200,150.438783
-1400.744063,200,150.746572
-1457.21251,200,151.050423
-1044.769081,200,151.358953
-923.543903,200,151.663868
-1028.470035,200,152.697084
-965.023215,200,153.015585
-988.53481,200,153.332341
-1139.2875,200,153.647698
-1187.317949,200,153.957624
-877.153136,200,168.455768
-1367.559658,200,169.543869
-987.469297,200,169.86241
-1680.265642,200,170.17177
-1424.87412,200,170.490826
-953.002084,200,170.805962
-930.711553,200,171.118527
-1209.445046,200,171.429899
-787.901018,200,172.4971
-1114.912056,200,172.811591
-1112.433821,200,186.76494
-946.34795,200,187.074254
-1027.550448,200,187.386079
-1030.647217,200,187.703734
-962.958829,200,188.762254
-1069.909811,200,189.077651
-985.825438,200,189.389868
-1078.623095,200,189.71009
-893.516704,200,190.024483
-1252.061596,200,190.337983
-1003.953993,200,205.488929
