#{"t_start": 1617632223.8974738, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
22.965766,18,1.846011
26.990525,24,2.448584
16.733471,9,2.665205
18.420851,11,2.960403
24.494651,20,3.458602
27.850674,25,4.096462
16.711232,10,4.356711
17.35732,12,4.641872
16.280857,10,4.895114
15.537515,9,5.11198
16.828414,9,5.330614
20.903024,16,5.715029
17.140871,12,6.021112
15.404253,9,6.250051
21.7607,14,6.608441
20.707,25,7.256681
20.805805,18,7.732584
14.477227,9,7.976334
20.04128,13,8.3282
14.482776,8,8.533339
17.793003,11,8.818459
20.327855,14,9.193707
21.440233,15,9.585065
15.475945,10,9.853323
21.689313,19,10.3905
20.273809,17,10.831947
18.442805,17,11.284972
18.175293,11,11.577302
16.591157,14,11.932791
17.960641,16,12.394055
17.419231,10,12.645168
19.800876,14,13.016304
20.745715,14,13.402468
16.64194,10,13.667181
21.056666,16,14.075171
18.934036,17,14.534951
19.533464,18,29.932382
23.442636,21,30.385679
17.197927,12,30.644516
23.673228,19,31.057714
12.433893,9,31.253799
13.838072,7,31.400249
14.811566,9,31.593532
19.826799,15,31.923586
21.625828,20,32.670056
17.493839,14,32.980646
13.275165,8,33.156135
19.74563,14,33.450665
25.56764,22,33.921694
18.771349,16,34.263926
25.743581,22,34.728115
15.979102,14,35.031165
15.727997,16,35.377086
26.134931,21,35.820659
15.843608,10,36.044398
28.242469,26,36.606784
34.74676,41,37.488303
17.399143,16,37.829614
26.847564,23,38.338266
16.383732,13,38.625117
20.638037,22,39.100157
29.079653,25,39.643685
18.678396,16,39.982404
17.370592,13,40.276253
13.384014,7,40.425561
23.583392,19,40.831041
23.188471,17,54.556954
20.629216,20,54.978531
15.824966,12,55.232052
24.439391,22,55.7009
27.332225,23,56.186024
20.938143,16,56.530506
18.750953,18,56.914083
22.952724,18,57.295365
19.504101,15,57.619754
16.758502,15,57.935625
23.226798,17,58.29653
34.232361,32,58.976351
18.897633,12,59.713672
25.997963,24,60.224693
16.136084,12,60.486469
23.739276,23,60.967545
22.797215,24,61.494766
25.388879,18,61.870523
22.56771,18,62.248885
16.953942,11,62.48722
21.3987,16,62.830935
27.346251,21,63.274991
23.370812,16,63.617992
25.402993,22,64.077378
29.969694,29,64.698058
23.050909,19,65.097736
31.94586,33,79.231277
28.715982,30,79.863177
29.202431,33,80.556462
24.433246,20,80.984174
29.607842,36,81.74076
36.118294,31,82.402778
23.234344,18,82.779364
17.456847,13,83.069907
29.223807,28,83.672136
23.575768,17,84.034196
31.425849,26,84.582028
43.510623,47,85.570231
25.624369,20,86.002065
30.944835,31,87.368401
18.315887,13,87.644245
26.720595,29,88.272599
31.71153,29,88.882805
19.651801,18,89.271792
22.68907,18,89.650151
16.496774,11,89.877962
29.642695,24,90.390739
28.606846,24,104.247993
38.622298,51,105.325112
27.896757,25,105.8454
26.261275,24,106.361225
31.546919,31,107.00592
27.390819,24,107.520178
37.126778,38,108.322458
29.829433,33,109.020451
40.815029,39,109.845811
27.684013,23,110.325591
24.936949,74,111.916453
16.794308,11,112.148029
36.602389,35,112.88859
45.235852,56,114.934369
19.983248,20,115.358809
37.75531,65,129.996647
13.018195,7,130.145863
43.953768,52,131.25818
23.944192,22,131.71696
33.940439,33,132.408311
