#{"t_start": 1611252516.4642444, "env_id": "CartPole-v1"}
r,l,t
24.0,24,5.678119
12.0,12,12.744336
24.0,24,12.869339
13.0,13,13.422989
19.0,19,13.505945
17.0,17,13.940323
11.0,11,13.982889
10.0,10,14.419485
11.0,11,14.462746
12.0,12,14.506745
22.0,22,15.090312
15.0,15,15.150626
10.0,10,15.721981
11.0,11,15.766973
10.0,10,15.803188
9.0,9,16.218073
11.0,11,16.264073
9.0,9,16.310074
10.0,10,16.747306
11.0,11,16.78811
10.0,10,16.827114
10.0,10,17.253951
8.0,8,17.283951
10.0,10,17.325951
9.0,9,17.360314
11.0,11,17.824018
9.0,9,17.86002
9.0,9,17.91802
11.0,11,18.415756
10.0,10,18.474987
8.0,8,18.513982
8.0,8,18.563232
