#{"t_start": 1611251416.8931782, "env_id": "Pendulum-v0"}
r,l,t
-1176.616493,200,6.281425
-1460.571656,200,7.302691
-1144.883904,200,8.365944
-1132.702665,200,9.487414
-1147.287704,200,10.578408
-1173.557627,200,12.023413
-961.190988,200,15.147213
-1666.891651,200,16.290216
-1676.283747,200,17.43575
-876.022643,200,18.308455
-1160.982237,200,62.850115
-1735.344061,200,63.636114
-1221.220723,200,66.526117
-1808.096007,200,67.479112
-1671.303532,200,68.289137
-889.338562,200,69.169611
-1431.293981,200,69.927612
-1172.669419,200,70.728606
-1530.527577,200,73.171539
-1693.603409,200,74.027534
-979.246294,200,112.734924
-1788.601188,200,113.535923
-1214.037065,200,114.279943
-1224.436622,200,114.967924
-1159.040154,200,115.758919
-1176.981255,200,118.183918
-1645.033803,200,118.98394
-1368.399781,200,119.683923
-1321.039688,200,120.405943
-1506.941142,200,121.085917
-1703.849276,200,164.376932
-1313.961129,200,166.959891
-1347.323909,200,167.757891
-1407.852328,200,168.693066
-1295.781296,200,169.466304
-1077.918088,200,170.331306
-1550.915285,200,171.552338
-1736.276003,200,174.458844
-1452.921377,200,175.452841
-1111.182059,200,176.669844
-1058.734383,200,217.257816
-1809.850001,200,218.38379
-1725.967881,200,219.120516
-1617.166658,200,221.467757
-1729.950246,200,222.231752
-1824.039408,200,223.043513
-1087.103303,200,223.988132
-1791.023553,200,224.80408
-1617.858719,200,225.559113
-1775.830778,200,226.668119
-1525.223054,200,230.205724
-1728.314692,200,277.009419
-1736.826667,200,277.757419
-1683.568558,200,278.527424
-1306.17428,200,279.230577
-1756.88014,200,279.932374
-1485.999329,200,283.968841
-1405.850148,200,284.670843
-1532.121821,200,285.457273
-1624.022489,200,286.159211
-1719.255644,200,286.826408
-1629.28411,200,330.131011
-1225.598966,200,333.431217
-1350.68533,200,334.365225
-1122.080281,200,335.30722
-1581.532504,200,336.54022
-1766.26959,200,337.413924
-1590.714812,200,338.176222
-1704.493695,200,341.174436
-1602.147914,200,342.001104
-1508.252072,200,342.68408
-1479.47525,200,378.700549
-1277.385495,200,379.438571
-1268.910707,200,380.227911
-1723.141285,200,380.958886
-1787.659645,200,383.320376
-1838.007451,200,384.019373
-1462.68252,200,384.72914
-1835.19274,200,385.421159
-1423.428578,200,386.119735
-1453.211493,200,386.796571
-1617.548264,200,424.268826
-1856.598868,200,425.048833
-1874.473145,200,425.822848
-1885.134253,200,426.635853
-1629.013757,200,427.399439
-1198.648133,200,428.24968
-1379.981519,200,430.928663
-1704.492545,200,433.09364
-1284.098986,200,433.82674
-1431.483791,200,434.469907
-1384.653147,200,435.180226
-1491.274138,200,473.852829
-1541.390098,200,476.631002
-1801.206095,200,477.474004
-1509.146177,200,478.23801
-1700.158465,200,479.075002
-1416.752841,200,479.752027
-1839.924295,200,480.428002
-1880.939009,200,481.174003
-1705.925097,200,483.621026
-1492.209824,200,484.345003
-1793.492101,200,521.551754
-1679.502521,200,522.236994
-1636.222264,200,523.236995
-1736.034984,200,524.589121
-1788.980928,200,527.145214
-1791.70038,200,527.840488
-1434.103865,200,528.546484
-1721.663419,200,529.240619
-1667.938397,200,529.930612
-1848.445212,200,530.734637
-1680.330828,200,571.21798
-1499.919981,200,572.268958
-1849.431584,200,573.075963
-1611.648327,200,573.778982
-1758.754116,200,574.476956
-1642.213275,200,575.184046
-1459.139133,200,577.487022
-1521.87685,200,578.238046
-1546.291321,200,578.920043
-1536.281464,200,579.595026
-1528.806418,200,617.654021
-1786.377647,200,618.709147
-1735.718906,200,619.462089
-1610.041686,200,622.170946
-1424.770952,200,623.343316
-1792.433958,200,624.126745
-1873.244433,200,624.916282
-1358.477216,200,625.677799
-1865.365809,200,626.51795
-1297.296019,200,629.086466
-1318.035072,200,629.846014
-1651.805105,200,670.037017
-1382.781179,200,670.746021
-1488.996178,200,671.496017
-1315.512269,200,672.176018
-1439.370222,200,674.936021
-1632.695577,200,675.70702
-1794.03904,200,676.436044
-1863.778239,200,677.145024
-1341.526114,200,677.889018
-1832.311023,200,678.706023
